Author, Title, ISBN, Genre
J.R.R. Tolkien;The Lord of the Rings;1010;Fantasy
Suzanne Collins;The Hunger Games;1013;Dystopian
Charlotte Brontë;Jane Eyre;1014;Romance
Fyodor Dostoevsky;Crime and Punishment;1015;Philosophical
C.S. Lewis;The Chronicles of Narnia;1017;Fantasy
Bram Stoker;Dracula;1018;Horror
Stephen King;The Shining;1019;Horror
Markus Zusak;The Book Thief;1022321;Historical Fiction
Mary Shelley;Frankenstein;1021;Gothic
Victor Hugo;Les Misérables;1022;Historical
Lois Lowry;The Giver;1023;Dystopian
George Orwell;Animal Farm;1024;Satire
Emily Brontë;Wuthering Heights;1025;Gothic
Khaled Hosseini;The Kite Runner;1026;Drama
Charles Dickens;A Tale of Two Cities;1027;Historical
Oscar Wilde;The Picture of Dorian Gray;1028;Philosophical
Charles Dickens;Great Expectations;1029;Classic
John Green;The Fault in Our Stars;1030;Young Adult
Yann Martel;Life of Pi;1031;Adventure
Gillian Flynn;Gone Girl;1032;Thriller
Arthur Golden;Memoirs of a Geisha;1033;Historical
Stieg Larsson;The Girl with the Dragon Tattoo;1034;Crime
Joseph Heller;Catch-22;1035;Satire
Ray Bradbury;Fahrenheit 451;1036;Dystopian
George R.R. Martin;A Game of Thrones;1038;Fantasy
Frances Hodgson Burnett;The Secret Garden;1039;Children's
Margaret Atwood;The Handmaid's Tale;1040;Dystopian
Cormac McCarthy;The Road;1041;Post-apocalyptic
Madeleine L'Engle;A Wrinkle in Time;1042;Science Fantasy
Audrey Niffenegger;The Time Traveler’s Wife;1043;Romance
Alice Walker;The Color Purple;1044;Historical Fiction
Sylvia Plath;The Bell Jar;1045;Psychological Fiction
S.E. Hinton;The Outsiders;1046;Young Adult
Toni Morrison;Beloved;1047;Historical Fiction
James Dashner;The Maze Runner;1048;Dystopian
Frank Herbert;Dune;1049;Science Fiction
Stephen Chbosky;The Perks of Being a Wallflower;1050;Coming-of-Age
Harper Lee;To Kill a Mockingbird;1001;Fiction
J.D. Salinger;The Catcher in the Rye;1006;Coming-of-Age
Herman Melville;Moby Dick;1007;Adventure
Kurt Vonnegut;Slaughterhouse-Five;1037;Science Fiction
Paulo Coelho;The Alchemist;1016;Adventure
Markus Zusak;The Book Thief;10299;Historical Fiction
author1;book1;100000;genre1
